Airline,Date_Of_Journey,Flight,Source_City,Destination,Route,Departure_Time,Arrivala_Time,Total_Stops,Class,Duration,Days_Left,Price
IndiGo,2025-08-21,6E3543,Chennai,Delhi,Chennai -> Delhi,2025-08-21 00:20:00,2025-08-21 03:33:00,Non-stop,Business,3h 13m,54,7364
Akasa Air,2025-05-04,QP2119,Bangalore,Kolkata,Bangalore -> Kolkata,2025-05-04 21:30:00,2025-05-05 05:58:00,2+ Stops,Economy,8h 28m,27,11299
Air India,2025-08-15,AI6476,Bangalore,Mumbai,Bangalore -> Mumbai,2025-08-15 21:10:00,2025-08-16 03:27:00,1 Stop,Business,6h 17m,56,11206
Vistara,2025-03-08,UK7695,Mumbai,Delhi,Mumbai -> Delhi,2025-03-08 23:20:00,2025-03-09 07:33:00,2+ Stops,Business,8h 13m,51,15788
SpiceJet,2025-02-23,SG4676,Mumbai,Hyderabad,Mumbai -> Hyderabad,2025-02-23 15:50:00,2025-02-23 22:27:00,2+ Stops,Business,6h 37m,50,21685
Air India,2025-06-26,AI7462,Mumbai,Kolkata,Mumbai -> Kolkata,2025-06-26 12:15:00,2025-06-26 16:29:00,Non-stop,Business,4h 14m,54,8686
Air India,2025-06-16,AI8061,Kolkata,Mumbai,Kolkata -> Mumbai,2025-06-16 20:10:00,2025-06-16 23:56:00,Non-stop,Business,3h 46m,36,21828
Akasa Air,2025-05-12,QP1719,Bangalore,Chennai,Bangalore -> Chennai,2025-05-12 23:20:00,2025-05-13 00:56:00,Non-stop,Economy,1h 36m,52,4476
SpiceJet,2025-08-01,SG4230,Mumbai,Chennai,Mumbai -> Chennai,2025-08-01 18:50:00,2025-08-02 02:30:00,2+ Stops,Business,7h 40m,55,17266
IndiGo,2025-06-22,6E5463,Chennai,Hyderabad,Chennai -> Hyderabad,2025-06-22 10:00:00,2025-06-22 14:11:00,1 Stop,Economy,4h 11m,27,7485
Vistara,2025-03-31,UK4215,Chennai,Bangalore,Chennai -> Bangalore,2025-03-31 20:20:00,2025-04-01 08:58:00,2+ Stops,Business,12h 38m,38,16793
Go First,2025-03-31,G83315,Mumbai,Kolkata,Mumbai -> Kolkata,2025-03-31 11:20:00,2025-03-31 14:51:00,Non-stop,Economy,3h 31m,3,6029
Go First,2025-06-01,G8369,Chennai,Delhi,Chennai -> Delhi,2025-06-01 04:10:00,2025-06-01 07:23:00,1 Stop,Business,3h 13m,7,26024
IndiGo,2025-03-05,6E1781,Chennai,Hyderabad,Chennai -> Hyderabad,2025-03-05 07:45:00,2025-03-05 10:08:00,Non-stop,Economy,2h 23m,29,2799
SpiceJet,2025-03-21,SG291,Hyderabad,Kolkata,Hyderabad -> Kolkata,2025-03-21 20:30:00,2025-03-22 00:35:00,1 Stop,Business,4h 5m,8,18999
IndiGo,2025-07-29,6E4201,Hyderabad,Chennai,Hyderabad -> Chennai,2025-07-29 07:00:00,2025-07-29 15:17:00,1 Stop,Economy,8h 17m,48,10435
Akasa Air,2025-06-06,QP204,Kolkata,Mumbai,Kolkata -> Mumbai,2025-06-06 10:00:00,2025-06-06 12:59:00,Non-stop,Business,2h 59m,51,7500
Akasa Air,2025-08-03,QP5817,Bangalore,Hyderabad,Bangalore -> Hyderabad,2025-08-03 05:00:00,2025-08-03 11:40:00,2+ Stops,Economy,6h 40m,36,12093
Air India,2025-03-01,AI2919,Mumbai,Bangalore,Mumbai -> Bangalore,2025-03-01 23:10:00,2025-03-02 01:22:00,Non-stop,Economy,2h 12m,48,6416
Vistara,2025-06-23,UK1103,Chennai,Kolkata,Chennai -> Kolkata,2025-06-23 04:00:00,2025-06-23 06:23:00,Non-stop,Business,2h 23m,15,14074
Akasa Air,2025-01-27,QP1136,Mumbai,Hyderabad,Mumbai -> Hyderabad,2025-01-27 05:15:00,2025-01-27 07:58:00,Non-stop,Business,2h 43m,25,6778
Air India,2025-02-24,AI3569,Delhi,Bangalore,Delhi -> Bangalore,2025-02-24 13:10:00,2025-02-25 01:20:00,2+ Stops,Business,12h 10m,27,33817
Akasa Air,2025-05-18,QP8797,Hyderabad,Chennai,Hyderabad -> Chennai,2025-05-18 05:50:00,2025-05-18 16:32:00,2+ Stops,Economy,10h 42m,22,10918
Air India,2025-06-22,AI7392,Bangalore,Kolkata,Bangalore -> Kolkata,2025-06-22 06:45:00,2025-06-22 09:10:00,Non-stop,Business,2h 25m,17,23804
Vistara,2025-08-17,UK1591,Hyderabad,Delhi,Hyderabad -> Delhi,2025-08-17 04:00:00,2025-08-17 05:35:00,Non-stop,Business,1h 35m,51,24928
Go First,2025-05-30,G82315,Delhi,Chennai,Delhi -> Chennai,2025-05-30 07:50:00,2025-05-30 10:48:00,Non-stop,Economy,2h 58m,12,6664
Go First,2025-06-26,G89007,Delhi,Bangalore,Delhi -> Bangalore,2025-06-26 02:15:00,2025-06-26 12:20:00,2+ Stops,Business,10h 5m,35,19165
Air India,2025-03-26,AI3021,Delhi,Hyderabad,Delhi -> Hyderabad,2025-03-26 04:50:00,2025-03-26 06:23:00,Non-stop,Economy,1h 33m,32,9118
Vistara,2025-03-30,UK1270,Kolkata,Chennai,Kolkata -> Chennai,2025-03-30 14:10:00,2025-03-30 23:04:00,2+ Stops,Business,8h 54m,6,10537
IndiGo,2025-03-30,6E496,Chennai,Delhi,Chennai -> Delhi,2025-03-30 05:50:00,2025-03-30 18:30:00,2+ Stops,Economy,12h 40m,6,8993
Air India,2025-07-08,AI7977,Delhi,Hyderabad,Delhi -> Hyderabad,2025-07-08 20:15:00,2025-07-08 22:01:00,Non-stop,Economy,1h 46m,51,6894
SpiceJet,2025-06-30,SG6310,Chennai,Delhi,Chennai -> Delhi,2025-06-30 20:15:00,2025-07-01 01:25:00,1 Stop,Economy,5h 10m,51,9634
Air India,2025-06-07,AI9936,Chennai,Hyderabad,Chennai -> Hyderabad,2025-06-07 09:20:00,2025-06-07 21:24:00,2+ Stops,Economy,12h 4m,35,9622
Go First,2025-02-11,G8795,Bangalore,Hyderabad,Bangalore -> Hyderabad,2025-02-11 16:20:00,2025-02-11 19:22:00,1 Stop,Economy,3h 2m,31,4877
SpiceJet,2025-05-09,SG4124,Kolkata,Bangalore,Kolkata -> Bangalore,2025-05-09 02:15:00,2025-05-09 12:32:00,2+ Stops,Economy,10h 17m,41,10366
Go First,2025-03-20,G82114,Mumbai,Hyderabad,Mumbai -> Hyderabad,2025-03-20 16:10:00,2025-03-20 21:52:00,1 Stop,Economy,5h 42m,10,7134
Air India,2025-02-16,AI9550,Kolkata,Delhi,Kolkata -> Delhi,2025-02-16 20:20:00,2025-02-17 00:33:00,Non-stop,Economy,4h 13m,36,7360
Go First,2025-01-28,G89246,Kolkata,Chennai,Kolkata -> Chennai,2025-01-28 19:50:00,2025-01-29 08:49:00,2+ Stops,Economy,12h 59m,23,6794
IndiGo,2025-06-06,6E4487,Delhi,Mumbai,Delhi -> Mumbai,2025-06-06 08:50:00,2025-06-06 15:46:00,2+ Stops,Economy,6h 56m,56,10205
Akasa Air,2025-06-07,QP4337,Chennai,Mumbai,Chennai -> Mumbai,2025-06-07 15:10:00,2025-06-07 22:34:00,2+ Stops,Economy,7h 24m,36,12481
IndiGo,2025-07-02,6E6648,Bangalore,Mumbai,Bangalore -> Mumbai,2025-07-02 02:10:00,2025-07-02 11:49:00,2+ Stops,Business,9h 39m,10,20936
Akasa Air,2025-01-17,QP5138,Kolkata,Bangalore,Kolkata -> Bangalore,2025-01-17 07:20:00,2025-01-17 14:43:00,2+ Stops,Business,7h 23m,11,12772
SpiceJet,2025-06-02,SG1446,Kolkata,Delhi,Kolkata -> Delhi,2025-06-02 09:45:00,2025-06-02 14:07:00,1 Stop,Business,4h 22m,53,11142
Vistara,2025-06-11,UK3853,Chennai,Bangalore,Chennai -> Bangalore,2025-06-11 21:10:00,2025-06-12 02:05:00,1 Stop,Economy,4h 55m,22,11150
Vistara,2025-05-03,UK6281,Bangalore,Hyderabad,Bangalore -> Hyderabad,2025-05-03 09:30:00,2025-05-03 22:03:00,2+ Stops,Economy,12h 33m,51,12343
IndiGo,2025-06-23,6E6135,Mumbai,Chennai,Mumbai -> Chennai,2025-06-23 16:10:00,2025-06-23 21:56:00,1 Stop,Economy,5h 46m,45,8563
Akasa Air,2025-03-19,QP1108,Chennai,Bangalore,Chennai -> Bangalore,2025-03-19 21:45:00,2025-03-20 01:00:00,Non-stop,Economy,3h 15m,3,4270
Air India,2025-06-17,AI5917,Mumbai,Chennai,Mumbai -> Chennai,2025-06-17 10:45:00,2025-06-17 15:31:00,Non-stop,Economy,4h 46m,17,5158
IndiGo,2025-06-14,6E1575,Delhi,Chennai,Delhi -> Chennai,2025-06-14 14:45:00,2025-06-14 16:23:00,Non-stop,Economy,1h 38m,30,4475
Go First,2025-03-29,G81597,Chennai,Mumbai,Chennai -> Mumbai,2025-03-29 04:20:00,2025-03-29 12:34:00,2+ Stops,Economy,8h 14m,32,8973
Akasa Air,2025-06-28,QP1358,Delhi,Chennai,Delhi -> Chennai,2025-06-28 15:50:00,2025-06-28 21:56:00,1 Stop,Business,6h 6m,49,22398
Go First,2025-04-17,G88692,Delhi,Mumbai,Delhi -> Mumbai,2025-04-17 06:50:00,2025-04-17 08:27:00,Non-stop,Economy,1h 37m,59,5240
Vistara,2025-07-26,UK1935,Hyderabad,Mumbai,Hyderabad -> Mumbai,2025-07-26 16:00:00,2025-07-26 20:21:00,Non-stop,Business,4h 21m,54,32864
Vistara,2025-07-25,UK4423,Chennai,Bangalore,Chennai -> Bangalore,2025-07-25 03:45:00,2025-07-25 07:41:00,1 Stop,Economy,3h 56m,53,9462
Go First,2025-03-26,G85765,Mumbai,Delhi,Mumbai -> Delhi,2025-03-26 19:00:00,2025-03-26 22:06:00,Non-stop,Business,3h 6m,5,8700
Vistara,2025-03-02,UK8781,Kolkata,Bangalore,Kolkata -> Bangalore,2025-03-02 18:10:00,2025-03-02 22:20:00,1 Stop,Economy,4h 10m,54,8508
Go First,2025-05-12,G88387,Mumbai,Delhi,Mumbai -> Delhi,2025-05-12 08:15:00,2025-05-12 14:19:00,1 Stop,Economy,6h 4m,16,7502
IndiGo,2025-05-20,6E4916,Mumbai,Chennai,Mumbai -> Chennai,2025-05-20 23:00:00,2025-05-21 07:01:00,1 Stop,Business,8h 1m,35,16254
Vistara,2025-07-31,UK7123,Kolkata,Delhi,Kolkata -> Delhi,2025-07-31 03:00:00,2025-07-31 10:27:00,2+ Stops,Economy,7h 27m,34,8635
IndiGo,2025-05-07,6E8623,Mumbai,Kolkata,Mumbai -> Kolkata,2025-05-07 19:00:00,2025-05-07 23:09:00,Non-stop,Business,4h 9m,25,9285
Akasa Air,2025-04-16,QP3587,Delhi,Bangalore,Delhi -> Bangalore,2025-04-16 08:15:00,2025-04-16 12:07:00,1 Stop,Business,3h 52m,50,28055
Vistara,2025-06-15,UK9472,Delhi,Hyderabad,Delhi -> Hyderabad,2025-06-15 13:50:00,2025-06-16 01:47:00,2+ Stops,Economy,11h 57m,41,13451
Go First,2025-03-11,G84421,Bangalore,Delhi,Bangalore -> Delhi,2025-03-11 09:30:00,2025-03-11 14:19:00,Non-stop,Economy,4h 49m,8,5306
SpiceJet,2025-07-03,SG3989,Kolkata,Chennai,Kolkata -> Chennai,2025-07-03 04:20:00,2025-07-03 06:34:00,Non-stop,Business,2h 14m,48,30136
IndiGo,2025-07-25,6E974,Delhi,Kolkata,Delhi -> Kolkata,2025-07-25 22:00:00,2025-07-26 10:03:00,2+ Stops,Business,12h 3m,29,34394
IndiGo,2025-01-17,6E4840,Bangalore,Chennai,Bangalore -> Chennai,2025-01-17 22:20:00,2025-01-18 06:11:00,1 Stop,Economy,7h 51m,12,8348
Go First,2025-07-29,G89484,Hyderabad,Kolkata,Hyderabad -> Kolkata,2025-07-29 18:50:00,2025-07-30 03:08:00,1 Stop,Business,8h 18m,50,14541
Air India,2025-07-08,AI8869,Bangalore,Chennai,Bangalore -> Chennai,2025-07-08 18:10:00,2025-07-08 21:46:00,Non-stop,Economy,3h 36m,25,6411
IndiGo,2025-03-31,6E8299,Bangalore,Chennai,Bangalore -> Chennai,2025-03-31 05:10:00,2025-03-31 08:03:00,Non-stop,Economy,2h 53m,40,4911
Air India,2025-02-20,AI7143,Kolkata,Chennai,Kolkata -> Chennai,2025-02-20 13:30:00,2025-02-20 20:05:00,2+ Stops,Business,6h 35m,36,18429
IndiGo,2025-06-05,6E7590,Kolkata,Delhi,Kolkata -> Delhi,2025-06-05 05:45:00,2025-06-05 09:20:00,Non-stop,Economy,3h 35m,42,6759
Go First,2025-06-01,G83710,Bangalore,Chennai,Bangalore -> Chennai,2025-06-01 20:10:00,2025-06-02 03:52:00,2+ Stops,Economy,7h 42m,59,7844
SpiceJet,2025-07-07,SG6776,Chennai,Delhi,Chennai -> Delhi,2025-07-07 18:30:00,2025-07-07 23:31:00,1 Stop,Economy,5h 1m,10,8036
SpiceJet,2025-07-17,SG9021,Chennai,Mumbai,Chennai -> Mumbai,2025-07-17 08:00:00,2025-07-17 17:36:00,2+ Stops,Business,9h 36m,28,21550
IndiGo,2025-05-21,6E3649,Delhi,Chennai,Delhi -> Chennai,2025-05-21 03:45:00,2025-05-21 11:34:00,2+ Stops,Economy,7h 49m,31,11113
Go First,2025-04-14,G85618,Delhi,Kolkata,Delhi -> Kolkata,2025-04-14 08:20:00,2025-04-14 15:35:00,2+ Stops,Business,7h 15m,54,25571
IndiGo,2025-04-17,6E582,Mumbai,Hyderabad,Mumbai -> Hyderabad,2025-04-17 00:00:00,2025-04-17 12:32:00,2+ Stops,Business,12h 32m,49,26848
IndiGo,2025-03-26,6E1003,Delhi,Hyderabad,Delhi -> Hyderabad,2025-03-26 02:00:00,2025-03-26 09:52:00,2+ Stops,Business,7h 52m,33,8687
Vistara,2025-04-24,UK8747,Delhi,Chennai,Delhi -> Chennai,2025-04-24 02:15:00,2025-04-24 12:19:00,2+ Stops,Business,10h 4m,42,15505
Air India,2025-07-13,AI8649,Mumbai,Chennai,Mumbai -> Chennai,2025-07-13 13:45:00,2025-07-13 15:31:00,Non-stop,Business,1h 46m,29,18724
SpiceJet,2025-05-23,SG4525,Delhi,Hyderabad,Delhi -> Hyderabad,2025-05-23 19:15:00,2025-05-23 23:18:00,1 Stop,Business,4h 3m,29,16401
Vistara,2025-01-28,UK2230,Hyderabad,Mumbai,Hyderabad -> Mumbai,2025-01-28 17:50:00,2025-01-28 22:36:00,Non-stop,Business,4h 46m,23,13298
Air India,2025-03-14,AI9363,Chennai,Hyderabad,Chennai -> Hyderabad,2025-03-14 00:20:00,2025-03-14 11:54:00,2+ Stops,Business,11h 34m,5,11412
Air India,2025-04-04,AI7536,Mumbai,Delhi,Mumbai -> Delhi,2025-04-04 10:15:00,2025-04-04 17:27:00,2+ Stops,Business,7h 12m,60,17987
Go First,2025-02-26,G81396,Kolkata,Delhi,Kolkata -> Delhi,2025-02-26 21:00:00,2025-02-26 23:00:00,Non-stop,Business,2h 0m,14,6844
Vistara,2025-05-09,UK3998,Hyderabad,Bangalore,Hyderabad -> Bangalore,2025-05-09 15:30:00,2025-05-09 23:54:00,2+ Stops,Economy,8h 24m,9,9952
Vistara,2025-04-08,UK1317,Chennai,Hyderabad,Chennai -> Hyderabad,2025-04-08 08:30:00,2025-04-08 11:25:00,Non-stop,Business,2h 55m,19,7782
Vistara,2025-03-19,UK4917,Hyderabad,Delhi,Hyderabad -> Delhi,2025-03-19 13:15:00,2025-03-19 16:30:00,1 Stop,Business,3h 15m,53,20224
IndiGo,2025-02-13,6E6626,Kolkata,Chennai,Kolkata -> Chennai,2025-02-13 14:45:00,2025-02-13 23:17:00,1 Stop,Economy,8h 32m,7,5182
IndiGo,2025-07-02,6E2745,Chennai,Delhi,Chennai -> Delhi,2025-07-02 18:30:00,2025-07-02 20:10:00,Non-stop,Economy,1h 40m,57,4638
Go First,2025-05-03,G86979,Mumbai,Chennai,Mumbai -> Chennai,2025-05-03 23:50:00,2025-05-04 08:33:00,1 Stop,Business,8h 43m,35,16019
Air India,2025-07-06,AI8936,Mumbai,Delhi,Mumbai -> Delhi,2025-07-06 05:30:00,2025-07-06 13:56:00,2+ Stops,Economy,8h 26m,55,10709
Go First,2025-07-31,G87466,Chennai,Delhi,Chennai -> Delhi,2025-07-31 18:30:00,2025-08-01 05:57:00,2+ Stops,Business,11h 27m,32,15381
Akasa Air,2025-04-30,QP1100,Kolkata,Hyderabad,Kolkata -> Hyderabad,2025-04-30 16:50:00,2025-04-30 18:13:00,Non-stop,Economy,1h 23m,16,5581
Go First,2025-03-11,G82453,Delhi,Bangalore,Delhi -> Bangalore,2025-03-11 20:15:00,2025-03-12 04:25:00,1 Stop,Economy,8h 10m,12,8112
Akasa Air,2025-05-30,QP6097,Delhi,Kolkata,Delhi -> Kolkata,2025-05-30 03:45:00,2025-05-30 10:21:00,1 Stop,Economy,6h 36m,35,5166
Akasa Air,2025-04-03,QP2954,Delhi,Chennai,Delhi -> Chennai,2025-04-03 18:20:00,2025-04-04 01:22:00,1 Stop,Business,7h 2m,9,15554
Go First,2025-03-02,G88977,Bangalore,Chennai,Bangalore -> Chennai,2025-03-02 05:10:00,2025-03-02 09:01:00,Non-stop,Economy,3h 51m,56,7457
Akasa Air,2025-07-01,QP3865,Chennai,Hyderabad,Chennai -> Hyderabad,2025-07-01 22:45:00,2025-07-02 06:03:00,1 Stop,Economy,7h 18m,28,7749
Go First,2025-06-24,G85633,Chennai,Hyderabad,Chennai -> Hyderabad,2025-06-24 20:00:00,2025-06-25 02:18:00,2+ Stops,Business,6h 18m,33,30039
Go First,2025-04-08,G87601,Delhi,Hyderabad,Delhi -> Hyderabad,2025-04-08 05:10:00,2025-04-08 14:38:00,2+ Stops,Business,9h 28m,6,18032
Akasa Air,2025-04-10,QP3159,Delhi,Chennai,Delhi -> Chennai,2025-04-10 12:50:00,2025-04-10 14:36:00,Non-stop,Business,1h 46m,29,26216
Go First,2025-06-19,G88168,Kolkata,Chennai,Kolkata -> Chennai,2025-06-19 18:20:00,2025-06-20 04:05:00,2+ Stops,Economy,9h 45m,10,7871
Go First,2025-02-27,G89550,Mumbai,Hyderabad,Mumbai -> Hyderabad,2025-02-27 20:30:00,2025-02-28 05:03:00,1 Stop,Economy,8h 33m,48,8082
Air India,2025-04-24,AI3990,Bangalore,Delhi,Bangalore -> Delhi,2025-04-24 00:45:00,2025-04-24 07:09:00,1 Stop,Business,6h 24m,45,27538
IndiGo,2025-07-16,6E2145,Mumbai,Kolkata,Mumbai -> Kolkata,2025-07-16 05:50:00,2025-07-16 14:44:00,2+ Stops,Business,8h 54m,58,17841
Go First,2025-03-18,G86541,Kolkata,Chennai,Kolkata -> Chennai,2025-03-18 04:15:00,2025-03-18 12:26:00,2+ Stops,Economy,8h 11m,26,11238
Akasa Air,2025-05-04,QP8827,Chennai,Hyderabad,Chennai -> Hyderabad,2025-05-04 12:50:00,2025-05-04 15:24:00,Non-stop,Economy,2h 34m,55,5286
Vistara,2025-08-07,UK2793,Bangalore,Delhi,Bangalore -> Delhi,2025-08-07 10:10:00,2025-08-07 22:31:00,2+ Stops,Business,12h 21m,44,18464
Air India,2025-04-05,AI9528,Mumbai,Hyderabad,Mumbai -> Hyderabad,2025-04-05 22:10:00,2025-04-06 05:48:00,1 Stop,Business,7h 38m,38,10936
Go First,2025-04-28,G81840,Hyderabad,Kolkata,Hyderabad -> Kolkata,2025-04-28 00:45:00,2025-04-28 08:01:00,1 Stop,Business,7h 16m,24,22260
Go First,2025-04-30,G85350,Kolkata,Bangalore,Kolkata -> Bangalore,2025-04-30 07:00:00,2025-04-30 10:40:00,Non-stop,Economy,3h 40m,53,6696
Go First,2025-06-12,G81320,Delhi,Hyderabad,Delhi -> Hyderabad,2025-06-12 05:00:00,2025-06-12 08:37:00,Non-stop,Economy,3h 37m,39,4704
IndiGo,2025-04-15,6E1509,Bangalore,Mumbai,Bangalore -> Mumbai,2025-04-15 02:15:00,2025-04-15 08:21:00,1 Stop,Business,6h 6m,26,11589
Air India,2025-04-22,AI2942,Bangalore,Chennai,Bangalore -> Chennai,2025-04-22 13:20:00,2025-04-23 01:53:00,2+ Stops,Economy,12h 33m,57,10695
Vistara,2025-04-19,UK5298,Delhi,Mumbai,Delhi -> Mumbai,2025-04-19 04:45:00,2025-04-19 16:51:00,2+ Stops,Business,12h 6m,40,12875
Air India,2025-03-07,AI7581,Kolkata,Chennai,Kolkata -> Chennai,2025-03-07 22:30:00,2025-03-08 08:05:00,2+ Stops,Economy,9h 35m,34,14956
Air India,2025-02-27,AI7931,Delhi,Kolkata,Delhi -> Kolkata,2025-02-27 07:50:00,2025-02-27 18:25:00,2+ Stops,Business,10h 35m,24,16648
SpiceJet,2025-03-29,SG9232,Kolkata,Hyderabad,Kolkata -> Hyderabad,2025-03-29 18:30:00,2025-03-30 01:04:00,1 Stop,Business,6h 34m,4,17133
Air India,2025-04-30,AI2364,Kolkata,Bangalore,Kolkata -> Bangalore,2025-04-30 23:45:00,2025-05-01 07:25:00,1 Stop,Business,7h 40m,33,26432
SpiceJet,2025-03-06,SG5299,Chennai,Hyderabad,Chennai -> Hyderabad,2025-03-06 16:10:00,2025-03-07 00:08:00,1 Stop,Economy,7h 58m,19,5842
Akasa Air,2025-01-11,QP7114,Bangalore,Delhi,Bangalore -> Delhi,2025-01-11 01:00:00,2025-01-11 04:23:00,Non-stop,Economy,3h 23m,9,7303
Akasa Air,2025-06-23,QP3902,Delhi,Bangalore,Delhi -> Bangalore,2025-06-23 03:50:00,2025-06-23 08:54:00,1 Stop,Economy,5h 4m,9,4208
SpiceJet,2025-06-26,SG7972,Delhi,Chennai,Delhi -> Chennai,2025-06-26 20:20:00,2025-06-27 07:31:00,2+ Stops,Economy,11h 11m,14,9067
SpiceJet,2025-05-04,SG8616,Hyderabad,Chennai,Hyderabad -> Chennai,2025-05-04 18:30:00,2025-05-05 03:39:00,2+ Stops,Business,9h 9m,25,17796
Akasa Air,2025-05-28,QP7326,Chennai,Bangalore,Chennai -> Bangalore,2025-05-28 04:45:00,2025-05-28 07:08:00,Non-stop,Economy,2h 23m,42,5521
SpiceJet,2025-02-28,SG3526,Delhi,Chennai,Delhi -> Chennai,2025-02-28 22:30:00,2025-03-01 00:42:00,Non-stop,Economy,2h 12m,14,3534
Air India,2025-04-30,AI2446,Chennai,Delhi,Chennai -> Delhi,2025-04-30 19:00:00,2025-04-30 23:47:00,Non-stop,Economy,4h 47m,41,4736
Go First,2025-03-14,G84109,Kolkata,Bangalore,Kolkata -> Bangalore,2025-03-14 06:45:00,2025-03-14 16:07:00,2+ Stops,Economy,9h 22m,32,10538
Vistara,2025-06-09,UK6719,Hyderabad,Delhi,Hyderabad -> Delhi,2025-06-09 05:50:00,2025-06-09 09:20:00,Non-stop,Business,3h 30m,43,17384
Akasa Air,2025-03-07,QP6050,Hyderabad,Bangalore,Hyderabad -> Bangalore,2025-03-07 12:10:00,2025-03-07 18:30:00,2+ Stops,Economy,6h 20m,31,10936
Go First,2025-02-12,G87531,Kolkata,Chennai,Kolkata -> Chennai,2025-02-12 12:00:00,2025-02-13 00:11:00,2+ Stops,Business,12h 11m,16,18880
Air India,2025-05-07,AI1137,Kolkata,Mumbai,Kolkata -> Mumbai,2025-05-07 22:45:00,2025-05-08 01:38:00,Non-stop,Economy,2h 53m,13,6669
Air India,2025-07-14,AI2926,Mumbai,Chennai,Mumbai -> Chennai,2025-07-14 06:45:00,2025-07-14 10:51:00,1 Stop,Business,4h 6m,37,24960
Go First,2025-06-07,G81334,Chennai,Bangalore,Chennai -> Bangalore,2025-06-07 17:10:00,2025-06-07 19:30:00,Non-stop,Business,2h 20m,16,18012
Go First,2025-03-30,G83429,Bangalore,Chennai,Bangalore -> Chennai,2025-03-30 13:00:00,2025-03-30 21:41:00,1 Stop,Business,8h 41m,20,14408
Vistara,2025-05-03,UK4848,Mumbai,Delhi,Mumbai -> Delhi,2025-05-03 08:50:00,2025-05-03 16:41:00,1 Stop,Business,7h 51m,37,34512
IndiGo,2025-07-22,6E3056,Kolkata,Chennai,Kolkata -> Chennai,2025-07-22 14:00:00,2025-07-22 16:28:00,Non-stop,Economy,2h 28m,53,3827
IndiGo,2025-06-14,6E5524,Mumbai,Chennai,Mumbai -> Chennai,2025-06-14 15:45:00,2025-06-14 18:16:00,Non-stop,Business,2h 31m,30,14528
Go First,2025-01-18,G88602,Mumbai,Bangalore,Mumbai -> Bangalore,2025-01-18 21:50:00,2025-01-19 00:40:00,Non-stop,Business,2h 50m,10,23012
Akasa Air,2025-01-22,QP989,Hyderabad,Mumbai,Hyderabad -> Mumbai,2025-01-22 01:15:00,2025-01-22 10:53:00,2+ Stops,Business,9h 38m,12,32064
Go First,2025-08-14,G87282,Bangalore,Mumbai,Bangalore -> Mumbai,2025-08-14 11:45:00,2025-08-14 19:56:00,2+ Stops,Economy,8h 11m,45,12912
Vistara,2025-03-15,UK1097,Delhi,Bangalore,Delhi -> Bangalore,2025-03-15 09:10:00,2025-03-15 17:15:00,1 Stop,Business,8h 5m,2,13324
SpiceJet,2025-03-23,SG2770,Mumbai,Chennai,Mumbai -> Chennai,2025-03-23 00:50:00,2025-03-23 03:39:00,Non-stop,Business,2h 49m,58,15878
IndiGo,2025-07-05,6E5060,Mumbai,Hyderabad,Mumbai -> Hyderabad,2025-07-05 23:30:00,2025-07-06 01:09:00,Non-stop,Economy,1h 39m,18,2540
Go First,2025-07-09,G86908,Kolkata,Delhi,Kolkata -> Delhi,2025-07-09 18:20:00,2025-07-09 19:29:00,Non-stop,Business,1h 9m,14,11584
Air India,2025-02-11,AI2586,Delhi,Bangalore,Delhi -> Bangalore,2025-02-11 21:45:00,2025-02-12 04:14:00,1 Stop,Economy,6h 29m,11,5673
Go First,2025-05-09,G81562,Delhi,Mumbai,Delhi -> Mumbai,2025-05-09 03:10:00,2025-05-09 04:17:00,Non-stop,Economy,1h 7m,25,6157
Air India,2025-06-11,AI5718,Chennai,Hyderabad,Chennai -> Hyderabad,2025-06-11 07:10:00,2025-06-11 18:56:00,2+ Stops,Economy,11h 46m,49,8505
Go First,2025-03-17,G83253,Kolkata,Hyderabad,Kolkata -> Hyderabad,2025-03-17 17:00:00,2025-03-18 00:29:00,2+ Stops,Business,7h 29m,22,17146
SpiceJet,2025-01-25,SG2985,Delhi,Mumbai,Delhi -> Mumbai,2025-01-25 17:45:00,2025-01-26 02:18:00,1 Stop,Economy,8h 33m,19,8021
IndiGo,2025-02-17,6E9544,Chennai,Bangalore,Chennai -> Bangalore,2025-02-17 19:15:00,2025-02-17 23:16:00,1 Stop,Economy,4h 1m,9,8485
SpiceJet,2025-04-17,SG6334,Delhi,Mumbai,Delhi -> Mumbai,2025-04-17 22:45:00,2025-04-18 09:07:00,2+ Stops,Economy,10h 22m,52,12312
IndiGo,2025-02-14,6E1692,Mumbai,Hyderabad,Mumbai -> Hyderabad,2025-02-14 08:10:00,2025-02-14 13:45:00,1 Stop,Business,5h 35m,8,22553
SpiceJet,2025-02-06,SG2235,Mumbai,Delhi,Mumbai -> Delhi,2025-02-06 23:50:00,2025-02-07 00:59:00,Non-stop,Business,1h 9m,17,8820
IndiGo,2025-04-01,6E6028,Hyderabad,Mumbai,Hyderabad -> Mumbai,2025-04-01 17:20:00,2025-04-01 20:30:00,1 Stop,Economy,3h 10m,31,8601
Akasa Air,2025-07-27,QP1498,Kolkata,Hyderabad,Kolkata -> Hyderabad,2025-07-27 00:20:00,2025-07-27 02:28:00,Non-stop,Business,2h 8m,56,27400
IndiGo,2025-04-07,6E5709,Bangalore,Kolkata,Bangalore -> Kolkata,2025-04-07 21:45:00,2025-04-08 03:59:00,2+ Stops,Business,6h 14m,56,8770
